,loc_id,address
0,loc_0,山西省玉英市孝南崔街B座 656334
1,loc_1,贵州省婷婷县门头沟吕街o座 517837
2,loc_2,海南省艳市清城胡路l座 904738
3,loc_3,河北省太原市龙潭兴城街K座 364872
4,loc_4,江西省张家港市浔阳淮安路y座 220182
5,loc_5,安徽省宁德市双滦郭路W座 150336
6,loc_6,澳门特别行政区长春市和平郭路f座 868761
7,loc_7,四川省郑州市滨城长沙街O座 392586
8,loc_8,江西省邯郸市淄川张路D座 932636
9,loc_9,香港特别行政区荆门市涪城关岭路y座 330657
10,loc_10,甘肃省马鞍山县白云东莞街A座 148068
11,loc_11,辽宁省玉华县友好南京街A座 151908
12,loc_12,贵州省佳县龙潭周街s座 459061
13,loc_13,海南省兴城县崇文巴路d座 232233
14,loc_14,甘肃省淮安市山亭济南路e座 548547
15,loc_15,上海市巢湖县白云天津街r座 538975
16,loc_16,宁夏回族自治区玉县西峰东莞路z座 515490
17,loc_17,云南省金凤县高港长春街x座 697685
18,loc_18,香港特别行政区西宁县涪城上海街E座 716648
19,loc_19,四川省雷市梁平李路H座 515321
20,loc_20,陕西省霞市梁平傅街g座 445918
21,loc_21,重庆市沈阳市平山潮州路F座 829693
22,loc_22,贵州省健市大东兰州路t座 466613
23,loc_23,香港特别行政区慧县沙湾胡街Q座 879724
24,loc_24,湖北省桂花县高港刘路k座 123380
25,loc_25,天津市荣县和平永安路N座 352345
26,loc_26,云南省重庆县大东阜新路D座 567275
27,loc_27,宁夏回族自治区想市清城昆明街m座 983755
28,loc_28,陕西省海门市丰都姜街z座 507401
29,loc_29,黑龙江省梅市平山马鞍山街Y座 755646
30,loc_30,河南省佛山市高明刘街k座 946584
31,loc_31,内蒙古自治区太原市高港程街h座 464286
